1 AllReduceParallel 8901 8740 1.01842
2 Pipeline 74418 44253 1.68165
3 NQueensPar 2894 3902 0.741671
4 MontyPiParallel 5655 7177 0.787934
5 KMeansScalar 75874 79737 0.951553
6 Histogram 1010 3258 0.310006
7 MergeSort 2044 6917 0.295504
8 Stream 30398 32237 0.942954
9 Prefix 1697 4537 0.374036
10 UTS 19555 39265 0.498026
11 IDEA 1171 3958 0.295856
12 SOR 796339 22814 34.9057
13 Stencil 20242 11234 1.80185
14 Series 13966 17876 0.781271
15 RayTrace 71671 72413 0.989753
16 LUFact 44594 55051 0.810049
17 SparseMatMul 5821 8618 0.675447

