1 AllReduceParallel 14273 12860 1.10988
2 Pipeline 114429 68778 1.66374
3 Convolve 112511 69072 1.62889
4 NQueensPar 2995 4203 0.712586
5 MontyPiParallel 837486 837463 1.00003
6 KMeansScalar 90005 101657 0.885379
7 Histogram 1892 3971 0.476454
8 MergeSort 2392 9446 0.253229
9 Stream 20507 25225 0.812963
10 Prefix 2398 7440 0.322312
11 UTS 78528 115121 0.682134
12 IDEA 1058 4420 0.239367
13 SOR 488199 16674 29.2791
14 Stencil 27260 4926 5.5339
15 Series 307916 311487 0.988536
16 RayTrace 237065 240526 0.985611
17 LUFact 41407 54112 0.765209
18 SparseMatMul 47544 328429 0.144762
19 Geometric-Mean 1 1 0.906633
