1 AllReduceParallel 8642 9502 0.909493
2 Pipeline 62200 37719 1.64904
3 Convolve 62965 37538 1.67737
4 NQueensPar 2969 4006 0.741138
5 MontyPiParallel 210903 202537 1.04131
6 KMeansScalar 87313 91974 0.949323
7 Histogram 1356 3550 0.381972
8 MergeSort 2052 6655 0.30834
9 Stream 12808 11574 1.10662
10 Prefix 2310 6934 0.333141
11 UTS 185522 31100 5.96534
12 IDEA 1216 4364 0.278643
13 SOR 286050 15774 18.1343
14 Stencil 19715 4701 4.19379
15 Series 43360 45148 0.960397
16 RayTrace 42033 45370 0.926449
17 LUFact 44927 57237 0.784929
18 SparseMatMul 104971 75166 1.39652
19 Geometric-Mean 1 1 1.13562
