1 AllReduceParallel 8865 9338 0.949347
2 Pipeline 53992 33133 1.62955
3 Convolve 53944 33812 1.59541
4 NQueensPar 3296 4269 0.772078
5 MontyPiParallel 156652 146390 1.0701
6 KMeansScalar 121127 124635 0.971854
7 Histogram 1479 3954 0.374052
8 MergeSort 2266 6861 0.330273
9 Stream 11599 11702 0.991198
10 Prefix 2473 7459 0.331546
11 UTS 178000 24243 7.34233
12 IDEA 1321 4668 0.282991
13 SOR 228258 17349 13.1568
14 Stencil 35103 5598 6.27063
15 Series 23923 26980 0.886694
16 RayTrace 28301 30484 0.928389
17 LUFact 46690 63715 0.732794
18 SparseMatMul 103826 53877 1.92709
19 Geometric-Mean 1 1 1.16666
