1 AllReduceParallel 10628 10013 1.06142
2 Pipeline 94688 55437 1.70803
3 NQueensPar 2832 3758 0.753592
4 MontyPiParallel 7213 8432 0.855432
5 KMeansScalar 62639 61558 1.01756
6 Histogram 906 4060 0.223153
7 MergeSort 2268 7750 0.292645
8 Stream 34750 38315 0.906956
9 Prefix 1617 4810 0.336175
10 UTS 30477 48475 0.628716
11 IDEA 1053 4111 0.256142
12 SOR 992500 23349 42.5072
13 Stencil 21510 4580 4.69651
14 Series 26225 30007 0.873963
15 RayTrace 127685 128533 0.993402
16 LUFact 41719 51650 0.807725
17 SparseMatMul 5070 9203 0.550907
18 Geometric-Mean 1 1 0.93054
