1 AllReduceParallel 9482 10529 0.90056
2 Pipeline 43256 27084 1.59711
3 Convolve 43376 28196 1.53837
4 NQueensPar 3643 5210 0.699232
5 MontyPiParallel 163401 232609 0.702471
6 KMeansScalar 190469 191425 0.995006
7 Histogram 1770 4328 0.408965
8 MergeSort 2447 8161 0.299841
9 Stream 21299 22198 0.959501
10 Prefix 2516 8467 0.297154
11 UTS 197127 22966 8.58343
12 IDEA 1459 5367 0.271846
13 SOR 306256 18184 16.8421
14 Stencil 67532 7357 9.17929
15 Series 16141 17613 0.916425
16 RayTrace 23395 26136 0.895125
17 LUFact 50950 75713 0.672936
18 SparseMatMul 126668 69077 1.83372
19 Geometric-Mean 1 1 1.15701
