1 AllReduceParallel 12905 12705 1.01574
2 Pipeline 38343 26105 1.4688
3 Convolve 37905 29241 1.2963
4 NQueensPar 4157 6165 0.67429
5 MontyPiParallel 72878 239878 0.303813
6 KMeansScalar 265400 272966 0.972282
7 Histogram 2303 4922 0.467899
8 MergeSort 2881 8199 0.351384
9 Stream 28684 50712 0.565625
10 Prefix 3121 9135 0.341653
11 UTS 205758 28992 7.09706
12 IDEA 1770 6241 0.283608
13 SOR 1765843 23691 74.5364
14 Stencil 128522 9525 13.4931
15 Series 20169 12685 1.58999
16 RayTrace 29503 37316 0.790626
17 LUFact 57444 92136 0.62347
18 SparseMatMul 156158 124577 1.25351
19 Geometric-Mean 1 1 1.19404
